Period,Revenue,Sales_quantity,Average_cost,The_average_annual_payroll_of_the_region
01.01.2015,16010072.12,12729,1257.763541,30024676
01.02.2015,15807587.45,11636,1358.507,30024676
01.03.2015,22047146.02,15922,1384.697024,30024676
01.04.2015,18814583.29,15227,1235.606705,30024676
01.05.2015,14021479.61,8620,1626.621765,30024676
01.06.2015,16783928.52,13160,1275.374508,30024676
01.07.2015,19161892.19,17254,1110.576805,30024676
01.08.2015,15204984.3,8642,1759.42887,30024676
01.09.2015,20603939.98,16144,1276.259909,30024676
01.10.2015,20992874.78,18135,1157.588904,30024676
01.11.2015,14993369.66,10841,1383.024597,30024676
01.12.2015,27791807.64,22113,1256.808558,30024676
01.01.2016,28601586.5,15365,1861.476505,27828571
01.02.2016,22367074.07,13153,1700.530226,27828571
01.03.2016,29738608.57,18339,1621.604699,27828571
01.04.2016,28351007.94,13909,2038.321083,27828571
01.05.2016,15264603.73,8553,1784.707557,27828571
01.06.2016,24385658.08,15101,1614.837301,27828571
01.07.2016,29486517.07,15695,1878.720425,27828571
01.08.2016,15270117.26,8314,1836.675157,27828571
01.09.2016,36141027.56,17764,2034.509545,27828571
01.10.2016,27915143.66,18969,1471.61915,27828571
01.11.2016,21272049.35,13433,1583.566541,27828571
01.12.2016,42014159.88,27029,1554.410444,27828571
01.01.2017,36007380.67,16889,2132.001934,27406473
01.02.2017,30396775.38,15864,1916.085185,27406473
01.03.2017,47678130.73,22786,2092.43091,27406473
01.04.2017,27013964.73,17910,1508.317405,27406473
01.05.2017,24948844.7,10777,2315.008323,27406473
01.06.2017,31101345.54,18799,1654.414891,27406473
01.07.2017,33848822.23,17899,1891.101303,27406473
01.08.2017,16454666.96,9649,1705.323552,27406473
01.09.2017,31650092.65,20159,1570.02295,27406473
01.10.2017,31572205.62,19519,1617.511431,27406473
01.11.2017,22446371.03,15360,1461.35228,27406473
01.12.2017,44966125.77,30833,1458.376602,27406473
01.01.2018,44067520.86,19812,2224.284315,28197847
01.02.2018,36020287.16,18424,1955.074205,28197847
01.03.2018,46995990.41,29004,1620.3279,28197847
01.04.2018,35536487.68,22033,1612.875581,28197847
01.05.2018,29699599.18,14959,1985.400039,28197847
01.06.2018,33261065.39,23067,1441.932865,28197847
01.07.2018,35826534.91,18397,1947.411801,28197847
01.08.2018,23268655.21,12045,1931.810312,28197847
01.09.2018,35423489.85,23358,1516.546359,28197847
01.10.2018,39831565.7,22644,1759.033991,28197847
01.11.2018,32999145.21,19765,1669.574764,28197847
01.12.2018,47221828.2,33207,1422.044394,28197847
01.01.2019,36459960.09,24096,1513.112554,29878525
01.02.2019,36546498.66,21624,1690.089653,29878525
01.03.2019,54198706.72,33379,1623.736682,29878525
01.04.2019,32743989.61,22265,1470.648534,29878525
01.05.2019,32531657.54,16967,1917.348827,29878525
01.06.2019,47709701.63,24958,1911.599553,29878525
01.07.2019,45992141.57,21917,2098.46884,29878525
01.08.2019,36933665.02,14431,2559.328184,29878525
01.09.2019,48526260.13,23253,2086.881698,29878525
01.10.2019,44160416.18,26603,1659.978806,29878525
01.11.2019,36374956.49,21987,1654.384704,29878525
01.12.2019,58756473.66,38069,1543.420464,29878525
01.01.2020,56288300.87,27184,2070.64085,29044998
01.02.2020,40225243.26,23509,1711.057181,29044998
01.03.2020,50022165.23,32569,1535.882748,29044998
01.04.2020,52320692.94,26615,1965.83479,29044998
